id	japanese	translation
ACTOR_10_profile	西の山奥の国セイリュー領主の娘。幼い頃より領民の悪童と\n悪さばかりして育った。粗暴な面もあるが人望が厚く人気者。	Daughter of the lord of Seiryu, a land deep in the western mountains.\nRaised raising mischief with the villagers' brats since childhood.\nBrash at times, yet well-liked and popular.
ACTOR_11_profile	西の山奥の国セイリュー領主の娘。幼い頃より領民の悪童と\n悪さばかりして育った。粗暴な面もあるが人望が厚く人気者。	Daughter of the lord of Seiryu, a land deep in the western mountains.\nRaised raising mischief with the villagers' brats since childhood.\nBrash at times, yet well-liked and popular.
ACTOR_14_profile	類稀な頭脳と剣術で天才の名を欲しいままにしている騎士。\n伝説的な騎士であるロイを超える才能とも言われている。	A knight whose rare intellect and swordsmanship have won him the name\nof genius. Some say his talent even surpasses the legendary knight Roi.
ACTOR_15_profile	フレイム王国の第二王子だったが兄の急逝により次期国王と\nなった。兄と真逆で性格は豪放磊落、学問より剣術が好き。	Once the second prince of the Flame Kingdom, he became the next king\nupon his brother's sudden death. The polar opposite of his brother:\nbold and free-spirited, preferring swordsmanship to study.
ACTOR_16_profile	その類まれな身体性能と槍の扱いで将来を期待されていたが、\n食べ過ぎてどんどん太るので心配されている若き兵士。	A young soldier whose extraordinary physique and spearplay promised\na bright future--though his ever-growing appetite worries everyone.
ACTOR_17_profile	幼い頃に父より風の紋章を継承した若き騎士。\nそれを抜きにしても天才的な頭脳と剣術を持つ。	A young knight who inherited the Wind Crest from his father in\nchildhood. Even setting that aside, his intellect and swordsmanship\nare genius-level.
ACTOR_18_profile	ウィンダム王国騎士団に代々騎士団長を輩出している名門。\nその怪力と胆力で戦場を駆け巡った歴戦の勇士。	Of a distinguished house that has produced generation after\ngeneration of Windam Knight Commanders. A battle-hardened warrior who\nhas roamed the battlefield on monstrous strength and nerve.
ACTOR_19_profile	フレイム王国の王。伝説の王であるバーン王に匹敵すると\n言われるほどの剣の使い手だった。	King of the Flame Kingdom. A swordsman said to rival\nthe legendary King Burn.
ACTOR_1_profile	庶民の出だが父母が無理をして入学させてくれた士官学校を\n首席で卒業。将来を期待されている新米騎士。	Of common birth; his parents strained themselves to put him through\nthe officer academy, which he graduated at the top of his class.\nA rookie knight with a promising future.
ACTOR_20_profile	フレイム王国の第一王子。弟のホノオのような剣術や体術の\n才能には恵まれなかったが、類まれな頭脳と洞察力を持つ。	First prince of the Flame Kingdom. Lacking his younger brother\nHono's gifts in sword and body, he instead possesses rare\nintellect and insight.
ACTOR_21_profile	西の山奥の国セイリュー領主の娘。幼い頃より身体が弱く、\n剣術よりも本を読んだり植物を愛でて育った。	Daughter of the lord of Seiryu. Frail since childhood, she grew up\nloving books and plants rather than the sword.
ACTOR_22_profile	セイリューの元当主人。一体どれほど長生きをしているのか\n誰も分からない。膨大な知識と尋常でない剣の腕を持つ。	A former head of Seiryu. No one knows just how long she has lived.\nShe commands vast knowledge and extraordinary skill with the sword.
ACTOR_23_profile	類稀な頭脳と剣術で天才の名を欲しいままにしている騎士。\n伝説的な騎士であるロイを超える才能とも言われている。	A knight whose rare intellect and swordsmanship have won him the name\nof genius. Some say his talent even surpasses the legendary knight Roi.
ACTOR_24_profile	ウィンダムの王。幼い頃より武術全般に優れ、騎士団の\n騎士たちにも厳しい鍛錬を求める。年齢不詳。	King of Windam. Master of all martial arts since childhood, he\ndemands rigorous training of his knights. Age unknown.
ACTOR_25_profile	セイリューの鍛冶屋の一族の娘。家業に殆ど関わらず、悪さと\n剣術にだけ励んで育った。気性は激しいが心根は優しい。	Daughter of Seiryu's blacksmith clan. Barely involved in the family\ntrade, she grew up devoted to mischief and swordsmanship.\nFierce-tempered, yet kind at heart.
ACTOR_26_profile	セイリュー農家の一族の男子。幼い頃より何をやらせても\n器用だった。なぜか村の者の中では悪童とばかり仲が良い。	A boy of Seiryu's farming clan. Handy at everything since childhood.\nFor some reason, he's closest friends with the village's worst brats.
ACTOR_2_profile	フレイム王国の第二王子だったが兄の急逝により次期国王と\nなった。兄と真逆で性格は豪放磊落、学問より剣術が好き。	Once the second prince of the Flame Kingdom, he became the next king\nupon his brother's sudden death. The polar opposite of his brother:\nbold and free-spirited, preferring swordsmanship to study.
ACTOR_3_profile	西の山奥の国セイリュー領主の娘。幼い頃より領民の悪童と\n悪さばかりして育った。粗暴な面もあるが人望が厚く人気者。	Daughter of the lord of Seiryu, a land deep in the western mountains.\nRaised raising mischief with the villagers' brats since childhood.\nBrash at times, yet well-liked and popular.
ACTOR_4_profile	類稀な頭脳と剣術で天才の名を欲しいままにしている騎士。\n伝説的な騎士であるロイを超える才能とも言われている。	A knight whose rare intellect and swordsmanship have won him the name\nof genius. Some say his talent even surpasses the legendary knight Roi.
ACTOR_5_profile	かつて天才騎士として王国に名を轟かせた男。\nいまは森の中の生家に籠り隠遁生活を送っている。	A man once famed across the kingdom as a genius knight. Now he\nlives in seclusion in his family home deep in the forest.
ACTOR_6_profile	幼い頃に父より風の紋章を継承した若き騎士。\nそれを抜きにしても天才的な頭脳と剣術を持つ。	A young knight who inherited the Wind Crest from his father in\nchildhood. Even setting that aside, his intellect and swordsmanship\nare genius-level.
ACTOR_7_profile	火と水の紋章を両手に宿した天才騎士。\nかつての部下ウィンと二人で最終局面に挑む。	A genius knight bearing the Fire and Water crests in his two hands.\nHe faces the final battle alongside his former subordinate, Win.
ACTOR_9_profile	フレイム王国の第二王子だったが兄の急逝により次期国王と\nなった。兄と真逆で性格は豪放磊落、学問より剣術が好き。	Once the second prince of the Flame Kingdom, he became the next king\nupon his brother's sudden death. The polar opposite of his brother:\nbold and free-spirited, preferring swordsmanship to study.
