id	japanese	translation
TROOP102_p0_10	刀ってことは…　	If it has a katana...
TROOP102_p0_11	セイリューに関係する魔物なんじゃねえのか？	it must be a monster tied to Seiryu, right?
TROOP102_p0_14	分からないよ。	I don't know.
TROOP102_p0_15	この前に村を襲った魔物もだけど、	Like the ones that attacked the village before,
TROOP102_p0_16	最近見たこともない魔物ばっかりなのさ。	lately it's all monsters we've never seen.
TROOP102_p0_2	なんだこの魔物…？	What are these monsters...?
TROOP102_p0_3	なんか知らんけど、むちゃくちゃカッコいいぞ…	I don't know why, but they look insanely cool...
TROOP102_p0_6	見たこともない鎧を着ている…	They're wearing armor we've never seen...
TROOP102_p0_7	でもあいつらが持っているのは、刀だ。	But what they carry is a katana.
TROOP106_p0_10	こいつはムチでの攻撃も強力だが、	Its whip attacks are powerful,
TROOP106_p0_11	魔法も使ってくる…　強敵だ。	and it uses magic too... a formidable foe.
TROOP106_p0_14	こっちも紋章の魔法をフル動員しなければ	Without throwing all our crest magic into play,
TROOP106_p0_15	勝てないだろう…。	we probably can't win...
TROOP106_p0_16	みんな、魔法や回復アイテムを忘れるな！！	Everyone, don't forget magic and recovery items!!
TROOP106_p0_19	おう！　わかったぜ！	Yeah! Got it!
TROOP106_p0_2	てめえら…　青龍を失っただけでも、	You lot... losing Seiryu already,
TROOP106_p0_3	こっちはもう後がねえんだ…	we've got nothing left...
TROOP106_p0_6	遊びは終わりだからなー…	The games are over now...
TROOP106_p0_7	てめえらの人生も終わりだからなーーーー！！	And so are your lives—!!
TROOP106_p1_2	おい！　アンタ！	Hey! You!
TROOP106_p1_3	5ターン以内にオレらを倒すって言ってたよな？	You said you'd beat us within five turns, right?
TROOP106_p1_6	ああん！！？？？	Huh!!???
TROOP106_p1_9	やれるもんならやってみろよ！	Go ahead and try, if you can!
TROOP106_p2_12	セイリューの当主のナガレさーーーーん？	Nagare, lord of Seiryu~?
TROOP106_p2_15	はい、ナガレです。	Yes, I'm Nagare.
TROOP106_p2_18	ナガレさんでしたらこの激しいバトルの	If it's Lady Nagare, even in the middle
TROOP106_p2_19	最中でも、きっとお分かりになると	of this fierce battle, surely you'd know
TROOP106_p2_2	あれ！？　あれれれれ？？	Huh!? Wha...??
TROOP106_p2_20	思うんですがー	don't you think~?
TROOP106_p2_23	いま何ターン経過したでしょうかーーー？	How many turns have passed by now~?
TROOP106_p2_26	この会話をしている段階でちょうど	At this very moment in the conversation,
TROOP106_p2_27	6ターンです。	it's exactly six turns.
TROOP106_p2_30	だとよーーーーーミケーネ！！	You hear that—!! Mycenae!!
TROOP106_p2_33	えーーーーーい、うるさい！！！！！！	Bah—! Shut up!!!!!!
TROOP106_p2_34	ほんの少し寿命が延びたことに感謝しろ！！	Be grateful your lives were extended by a moment!!
TROOP106_p2_35	すぐだ…もうすぐに終わらせてやる…！！！！	Soon... I'll end this soon...!!!!
TROOP106_p2_38	あ、そう。へへへ…	Oh, is that so. Hehehe...
TROOP106_p2_39	バー――――――カ！！	You idiooooot!!
TROOP106_p2_5	あんだあ！？どうしたコラあ！！？？	What was that!? Say that again!!??
TROOP106_p2_8	ちょっとここで、冷静にバトルを観察するのが	Let's ask Nagare, who's so good at calmly
TROOP106_p2_9	得意なナガレさんに聞いてみましょう…	observing a battle...
TROOP106_p3_12	最大出力のブリザード…　解禁するわ！！	Maximum-output Blizzard... I'm unleashing it!!
TROOP106_p3_15	なんか奥の手がありやがるのか…？	So she's got an ace up her sleeve...?
TROOP106_p3_2	………っ！！！！	.........!!!!
TROOP106_p3_5	…効いてる！！	...It's working!!
TROOP106_p3_6	このまま一気にたたみかけろ！！	Press the attack all at once!!
TROOP106_p3_9	もう四の五の言ってられないわね…	No time to dither...
TROOP107_p0_13	…手を抜いている？　マジか…	...Holding back? Seriously...
TROOP107_p0_16	ホノオ！集中しろ！	Hono! Focus!
TROOP107_p0_2	ナウー…　この子たち、強いわ。	Nau... these kids are strong.
TROOP107_p0_3	あたしたちの予想を超える力を持っている…	They hold power beyond our expectations...
TROOP107_p0_6	いつもみたいに手を抜かなくてもいいはずよ。	You don't need to hold back like usual.
TROOP107_p0_7	二対二なんだし、条件もフェアでしょう？	It's two on two, so the terms are fair, right?
TROOP107_p1_14	ま、待て！！	W-Wait!!
TROOP107_p1_15	まだこれからってときに…逃げんじゃねー！！	Don't run at a time like this!!
TROOP107_p1_18	ホノオ！	Hono!
TROOP107_p1_19	喋ってるヒマがあるなら攻撃するんだ！！	If you've got time to talk, attack!!
TROOP107_p1_2	ナウー…　やっぱり…	Nau... just as I thought...
TROOP107_p1_22	思わせぶりな会話をして…	talking all cryptic...
TROOP107_p1_23	消えて脱出するスキを作ろうとしているんだ…	he's trying to make an opening to vanish and escape...
TROOP107_p1_24	乗せられるなよ！	Don't fall for it!
TROOP107_p1_27	ふーん　相変わらず口の達者な子…	Hmm, as silver-tongued as ever...
TROOP107_p1_28	いいわ、もう少しだけ相手してあげる。	Fine, I'll play along a little longer.
TROOP107_p1_29	だけど…	But...
TROOP107_p1_3	あなた、一対一の決闘にしか興味ないのね…	you're only interested in one-on-one duels...
TROOP107_p1_32	ナウーが全然やる気ないのよ。	Nau has no interest at all.
TROOP107_p1_33	彼を本気にさせるくらいに…	Try to work a little harder...
TROOP107_p1_34	あなたたちももっと頑張りなさい！？	to make him serious!?
TROOP107_p1_6	時間がかかり過ぎたわ。	This has taken too long.
TROOP107_p1_7	これ以上はただの消耗戦…	Any more would be a mere war of attrition...
TROOP107_p1_8	帰るわよ、ナウー！	We're leaving, Nau!
TROOP108_p0_10	ちょっとだけ遊ばせてもらうよーー？	Let me have a bit of fun first~?
TROOP108_p0_11	キミたちにはボクの炎を防ぐ手段が	You lot have no way to block my flames,
TROOP108_p0_12	ないから…	so...
TROOP108_p0_15	よく燃えるだろうなーーーー！！？？	you'll burn nicely, won't you—!!??
TROOP108_p0_18	奴は自分でも散々言っているが…	He keeps saying it himself, but...
TROOP108_p0_19	火を使うらしい。	it seems he uses fire.
TROOP108_p0_2	ホントはーーー　自分で戦うつもりなんて	The truth is—I never planned to fight
TROOP108_p0_22	これといって対策も思いつかんが…	We can't think of any real counter...
TROOP108_p0_23	とりあえず早めに回復をしながら戦うぞ…。	For now, we fight while healing early...
TROOP108_p0_29	　　　　　　　　　　　ウィンは頷いた！	Win nodded!
TROOP108_p0_3	なかったんだケドーーー	there wasn't any, but—
TROOP108_p0_6	来たのが風の紋章の継承者とーーー	the ones who came were the Wind Crest inheritor and—
TROOP108_p0_7	よくわかんない赤いヒトだけだったんでーー	some weird red person, so—
TROOP108_p1_10	フン…さあな。	Hmph... who knows.
TROOP108_p1_11	お前の力が自分で思っているよりも、	Your power just isn't as impressive
TROOP108_p1_12	意外と大したことないんだろう。	as you think it is.
TROOP108_p1_15	いやいやいやいやー	No no no no~
TROOP108_p1_16	金髪の子は明らかにヤケドだらけだよー？	The blond one's clearly covered in burns~?
TROOP108_p1_2	………おかしいなーーー	.........How strange~
TROOP108_p1_22	なんでーーー？	Why~?
TROOP108_p1_23	赤い服着てるからとか言うなよー？	Don't you dare say it's because of the red clothes~?
TROOP108_p1_24	面白くないからーーー	that's not funny—
TROOP108_p1_27	…本当にそうなのか…？	...Is that really so...?
TROOP108_p1_28	ウィン、お前から見ても…？	Win, from where you stand...?
TROOP108_p1_34	まあ…、なんでもいいさ。	Well... whatever.
TROOP108_p1_35	これで、お前に勝つ見込みもあると分かった…	At least I know I have a chance against you now...
TROOP108_p1_36	そろそろ本気でいかせてもらう…！	Time for me to get serious...!
TROOP108_p1_39	こわーーーーー！！！！！	Scary—!!!!!
TROOP108_p1_40	怖過ぎてムリーーーー！！！！	Too scary, can't do it!!!!
TROOP108_p1_43	怖過ぎるのであと5ターンで終りにしまーす	It's so scary, I'll end this in five more turns~
TROOP108_p1_44	5ターン以内にボクを倒せるようにー…	Try to beat me within five turns~...
TROOP108_p1_45	せいぜいがんばってくださーーーい！！！？	Do your very best—!!!?
TROOP108_p1_48	ふざけやがって…！！	You've got some nerve...!!
TROOP108_p1_5	おい、赤いのさーーー	Hey, red one~
TROOP108_p1_6	オマエ、継承者でもないのに…	You're not even an inheritor, yet...
TROOP108_p1_7	ボクの炎にちょっと耐性あるよねーーー？	you've got a bit of resistance to my flames, don't you~?
TROOP108_p2_2	ざんねんでしたーーーー！！！！	Too bad for you—!!!!
TROOP108_p2_3	ここまででーーす　ガチバトルごっこ終わり！！	That's it—the real-battle game is over!!
TROOP109_p0_10	ちなみにピピンが剣ではなく、杖を持って	By the way, Pipin appears to be holding a staff
TROOP109_p0_11	いるように見えるのだが…　これは…？	rather than a sword... what is this...?
TROOP109_p0_14	おそらくダフィールの魔力で見た目が変わって	His weapon's appearance is likely altered by
TROOP109_p0_15	いるのでしょう…　恐ろしい力だ…	Dafill's magic... a fearsome power...
TROOP109_p0_16	しかしあれは剣なのです、サクソン殿！！	But that IS a sword, Lord Saxon!!
TROOP109_p0_2	いけっ！　ウィン！！	Go, Win!!
TROOP109_p0_3	ピピンなんか倒してしまえーい！！	Knock Pipin out already!!
TROOP109_p0_6	ウィン！　ピピンは操られている！	Win! Pipin is being controlled!
TROOP109_p0_7	何かがきっかけで正気に戻るかも知れん！	Something might snap him back to his senses!
TROOP109_p1_14	　　　　　　　　ウィンは首を横に振った！	Win shook his head!
TROOP109_p1_2	俺は…天才だ…	I... am a genius...
TROOP109_p1_3	そう呼ぶのは俺だけじゃない、誰もが認める。	It's not just me saying it—everyone agrees.
TROOP109_p1_6	そんな俺が、貴様のような新米の小僧に、	And someone like me had everything taken
TROOP109_p1_7	すべてを奪われた…	by a rookie brat like you...
TROOP109_p1_8	その理由を、貴様は答えられるのか！？	Can you tell me why!?
TROOP109_p2_16	　　　　　　　ウィンは左手を高くかかげた！	Win raises his left hand high!
TROOP109_p2_17	　　ハヤテの魔法が発動！　ウィンの回避力がアップした！	Hayate activates! Win's evasion increases!
TROOP109_p2_2	ウィン！	Win!
TROOP109_p2_3	風の紋章の力とお前の素早さがあれば…	With the Wind Crest's power and your agility...
TROOP109_p2_6	ピピンの攻撃と言えども、	even Pipin's attacks
TROOP109_p2_7	避け続けることができるはずだ！	you should be able to keep dodging!
TROOP109_p2_8	避け続けろ！　ウィン！	Keep dodging! Win!
TROOP109_p3_2	…風の紋章の力か。	...The Wind Crest's power, is it.
TROOP109_p3_5	…俺から奪ったその力で、俺の攻撃をすべて	...With the power you stole from me, you mean to
TROOP109_p3_6	避け続けようと言うんだな…　ウィン！！	dodge all my attacks... don't you, Win!!
TROOP109_p4_10	ウィン…　手を抜いているのか…？	Win... are you holding back...?
TROOP109_p4_2	ふざけているのか！　ウィン！！	Are you mocking me! Win!!
TROOP109_p4_5	えーい！　ウィンのやつ…	Bah! That Win...
TROOP109_p4_6	避けているばかりで、ちっともピピンに	he's only dodging, not dealing any
TROOP109_p4_7	ダメージを与えられぬではないか！	damage to Pipin at all!
TROOP109_p5_15	　　　　　　ウィンは気合をこめて斬りかかった！	Win charges in with all his spirit!
TROOP109_p5_18	　　　　　　　　　…しかし力がはいらない	...But his strength won't come out.
TROOP109_p5_2	俺を憐れむというのか…ウィン……！！	You would pity me... Win......!!
TROOP109_p5_21	ピピン！！　目を覚ませ！！	Pipin!! Wake up!!
TROOP109_p5_22	ウィンはお前を殺したくないのだ…	Win doesn't want to kill you...
TROOP109_p5_23	殺せないのだ……　ピピン…！	he can't... Pipin...!
TROOP109_p5_26	それが屈辱なんだろう…？	That's what humiliates you, isn't it...?
TROOP109_p5_27	それが許せないんだよ…	You can't stand it...
TROOP109_p5_30	俺を憐れむなと言っているだろうがああ！！！	I told you not to pity me, damn it!!!
TROOP109_p5_36	もうよい！　ピピンを殺せ！	Enough! Kill Pipin!
TROOP109_p5_37	ウィンにできないのであれば…　我が斬る！！	If Win cannot... then I shall strike!!
TROOP109_p5_40	な、ななな、なりませぬぞ陛下！！	N-No, no, no, you mustn't, Your Majesty!!
TROOP109_p5_41	いまのあやつに近付くなど…	Getting near him now...
TROOP109_p5_42	ウィン以外には不可能です！！	is impossible for anyone but Win!!
TROOP109_p5_45	サクソン殿の言う通りですぞ、陛下！	Lord Saxon speaks the truth, Your Majesty!
TROOP109_p5_46	ここは、ウィンに任せてやって下さい！	Please, leave this to Win!
TROOP109_p5_49	むう…	Hmm...
TROOP109_p5_5	そんな風に扱われて…　俺が喜ぶと思うのか…	Do you think I'm pleased... being handled like this...
TROOP109_p5_8	余計に情けなく…！　みじめになるだけだと…	It only makes me more pathetic...! More miserable...
TROOP109_p5_9	わからないか！！　ウィン！！！	Can't you see!? Win!!
TROOP109_p6_12	…違う　俺はこんなこと望んじゃいない…	...No, this isn't what I want...
TROOP109_p6_13	ウィン、俺はこんなことをしたくはない…	Win, I don't want to do this...
TROOP109_p6_19	術が…　解けだしたのか…！？	The spell... is it starting to break...!?
TROOP109_p6_2	…う、ううう……っ！！	...Ngh... hnnn...!!
TROOP109_p6_23	…う、うおおおおおお…！！	...U-Ughhhh...!!
TROOP109_p6_5	なにやらピピンが苦しみだしたぞ…！？	Something's making Pipin writhe in pain...!?
TROOP109_p6_9	………ピピン！	.........Pipin!
TROOP109_p7_12	俺は死を…選ぶ…！！	I choose... death...!!
TROOP109_p7_18	　　　　　　ピピンは自らの体に斬りつけた！	Pipin slashes his own body!
TROOP109_p7_2	クソッ　俺としたことが…	Damn it, to think I'd come to this...
TROOP109_p7_24	なに！？	What!?
TROOP109_p7_27	ああ…ピピン…！　やめろ！！	Ah... Pipin...! Stop!!
TROOP109_p7_3	こんな術なんかに…！	Don't yield to this spell...!
TROOP109_p7_6	ピピン！　正気に戻ったか！？	Pipin! Are you back in your right mind!?
