id	japanese	translation
CE4_1	度重なる魔族軍の侵攻も最早脅威と呼ばれなくなって	The demon army's repeated invasions are no longer even called a threat,
CE4_11	魔族を、闇を駆逐した我々は、いまや彼らと比べて本当に	having driven out the demons and the Dark, we must ask whether we are truly
CE4_12	正しいのであろうか。お互いの内に闇を生み出しそれを増幅	righteous compared to them. Both sides have birthed darkness within and amplified it;
CE4_13	し合うようになった我々がそこに目を向けない限り、本当の	unless we who have done so turn our eyes upon it, the true darkness will, in the end,
CE4_14	意味での闇は結局形を変えるだけでむしろ強大になるばかり	only change its shape and grow all the more powerful.
CE4_2	数百年。我々は遂に闇を克服したと言ってよいだろう。	After several centuries, one could say we finally overcame the darkness.
CE4_3	この大陸のどこにも光が満たされ、闇は駆逐された。	Light fills every corner of this continent, and the darkness has been driven out.
CE4_4	彼らの魔法の力も我々の兵器の前には児戯に等しい。	Even their magical power is child's play before our weapons.
CE4_6	しかしそうなって後、魔族を駆逐する兵器群を持て余した	But once that came to pass, humanity, at a loss over the arsenal built to purge the demons,
CE4_7	人類は、互いに争い始めた。大陸に闇はない。全てが文明の	began to war among themselves. There is no darkness on the continent. Everything is
CE4_8	明かりに照らされている。野生の魔物も近い将来大陸から	lit by civilization's lights. Wild monsters, too, will vanish from the continent
CE4_9	姿を消すだろう。しかし、それは勝利ではなかった。	in the near future. Yet that was not a victory.
MAP4_e10_p1_2	…街には入らない方がいい、ウィン…	...Better not go into town, Win...
MAP4_e10_p1_5	あのとき、燃え盛る岩がたくさん降ってきて…	Back then, burning rocks rained down in droves...
MAP4_e10_p1_6	この街はがれきの山になってしまったんだ。	This town was reduced to a mountain of rubble.
MAP4_e11_p1_2	…街には入らない方がいい、ウィン…	...Better not go into town, Win...
MAP4_e11_p1_5	あのとき、燃え盛る岩がたくさん降ってきて…	Back then, burning rocks rained down in droves...
MAP4_e11_p1_6	この街はがれきの山になってしまったんだ。	This town was reduced to a mountain of rubble.
MAP4_e15_p0_1	この先、旧坑道。	Beyond this point: the Old Mine.
MAP4_e15_p0_2	危険につき、立ち入りを禁ずる。	Entry forbidden due to danger.
MAP4_e15_p0_3	　　　　　　　　　　　　　　　王国騎士団　　　　　　	The Kingdom's Knight Order
MAP4_e17_p0_5	　　　ウィンは先にフレイム王に会おうと思った　　　	Win decided to see King Flame first.
MAP4_e18_p0_5	　　　ウィンは先にフレイム王に会おうと思った　　　	Win decided to see King Flame first.
MAP4_e24_p0_5	　　　　ウィンは先にセイリューへ行こうと思った	Win decided to head to Seiryu first.
MAP4_e26_p1_2	えーと…　	Um...
MAP4_e26_p1_3	先にセイリューの様子を見に行くんじゃ	Weren't we supposed to check on Seiryu
MAP4_e26_p1_4	なかったのか…？	first...?
MAP4_e26_p1_7	も、もちろんだぜ！	O-Of course!
